iter	Passed	Remaining
219	289	1025
220	289	1021
221	290	1017
222	290	1013
223	291	1010
224	292	1006
225	292	1003
226	293	999
227	294	996
228	294	992
229	295	989
230	296	985
231	296	982
232	297	978
233	298	975
234	298	972
235	299	968
236	299	964
237	300	961
238	300	957
239	301	954
240	302	951
241	302	948
242	303	944
243	303	941
244	304	938
245	305	935
246	305	932
247	306	929
248	307	926
249	307	923
250	308	920
251	308	917
252	309	914
253	310	911
254	310	908
255	311	905
256	312	902
257	312	899
258	313	896
259	314	894
260	314	891
261	315	888
262	316	885
263	316	882
264	317	880
265	317	877
266	318	874
267	319	872
268	320	869
269	320	866
270	321	864
271	321	861
272	322	858
273	323	856
274	323	853
275	324	850
276	324	848
277	325	845
278	326	842
279	326	840
280	327	837
281	327	835
282	328	832
283	329	830
284	329	827
285	330	824
286	330	822
287	331	819
288	332	817
289	332	815
290	333	812
291	334	810
292	334	808
293	335	805
294	336	803
295	336	801
296	337	798
297	338	796
298	338	794
299	339	792
300	340	789
301	340	787
302	341	785
303	342	783
304	342	780
305	343	778
306	343	776
307	344	774
308	345	771
309	345	769
310	346	767
311	347	765
312	347	763
313	348	761
314	349	759
315	349	757
316	350	754
317	350	752
318	351	750
319	352	748
320	352	746
321	353	744
322	354	742
323	354	740
324	355	738
325	356	736
326	356	734
327	357	732
328	358	730
329	358	728
330	359	726
331	360	724
332	360	722
333	361	720
334	362	718
335	362	716
336	363	714
337	363	712
338	364	710
339	365	708
340	365	706
341	366	704
342	367	703
343	367	701
344	368	699
345	369	697
346	369	695
347	370	693
348	370	691
349	371	689
350	371	687
351	372	685
352	372	683
353	373	681
354	374	679
355	374	678
356	375	676
357	376	674
358	376	672
359	377	670
360	377	668
361	378	667
362	379	665
363	379	663
364	380	661
365	380	659
366	381	657
367	382	656
368	383	655
369	383	653
370	384	651
371	384	649
372	385	647
373	385	645
374	386	644
375	387	642
376	387	640
377	388	638
378	388	637
379	389	635
380	389	633
381	390	631
382	391	630
383	391	628
384	392	626
385	392	624
386	393	623
387	393	621
388	394	619
389	395	617
390	395	616
391	396	614
392	397	613
393	397	611
394	398	610
395	399	609
396	400	607
397	400	606
398	401	604
399	402	603
400	402	601
401	403	600
402	404	598
403	404	597
404	405	595
405	406	594
406	406	592
407	407	590
408	407	589
409	408	587
410	409	586
411	409	584
412	410	583
413	411	581
414	411	580
415	412	578
416	412	577
417	413	575
418	414	574
419	414	572
420	415	571
421	416	569
422	416	568
423	417	566
424	418	566
425	419	564
426	419	563
427	420	561
428	421	560
429	421	558
430	422	557
431	422	556
432	423	554
433	424	553
434	425	552
435	425	550
436	426	549
437	427	548
438	427	546
439	428	545
440	429	544
441	430	542
442	430	541
443	431	540
444	432	538
445	432	537
446	433	536
447	434	534
448	434	533
449	435	532
450	436	531
451	437	529
452	437	528
453	438	527
454	439	525
455	439	524
456	440	523
457	441	522
458	441	520
459	442	519
460	443	518
461	443	516
462	444	515
463	445	514
464	446	513
465	446	511
466	447	510
467	448	509
468	449	508
469	449	507
470	450	505
471	451	504
472	451	503
473	452	501
474	452	500
475	453	499
476	454	497
477	454	496
478	455	495
479	456	494
480	457	493
481	457	491
482	458	490
483	459	489
484	459	488
485	460	486
486	461	485
487	462	484
488	462	483
489	463	482
490	464	481
491	465	480
492	465	478
